Name,Frequency,Amplitude,PulseWidth,AOA
S1,1426.0,-20,226.09,281
S1,1425.405,-20,5.98,281
S1,1425.59,-20,5.98,283
S1,1425.59,-20,5.98,283
S1,1376.125,-20,235.39,283
S1,1425.755,-20,235.39,283
S1,1426.06,-20,225.82,283
S1,1426.255,-7,225.82,283
S1,1376.235,-7,225.82,283
S1,1376.235,-7,225.82,283
S1,1376.235,-7,225.82,286
S1,1376.235,-7,225.82,291
S1,1376.235,-7,225.82,297
S1,1376.105,-7,232.93,297
S1,1376.265,-7,225.85,297
S1,1376.265,-7,225.85,306
S1,1376.265,-7,225.85,315
S1,1376.265,-7,225.85,326
S1,1376.265,-7,225.85,335
S1,1425.94,-7,8.23,335
S1,1376.175,-7,230.53,335
S1,1425.835,-7,3.04,335
S1,1425.835,-7,3.04,344
S1,1425.835,-7,3.04,351
S1,1375.94,-7,226.18,351
S1,1375.94,-7,226.18,356
S1,1375.94,-7,226.18,1
S1,1375.94,-7,226.18,3
S1,1375.94,-7,226.18,5
S1,1375.94,-7,226.18,7
S1,1425.745,-7,6.55,7
S1,1376.04,-7,6.55,7
S1,1425.63,-9,6.55,7
S1,1376.295,-72,225.82,7
S1,1376.295,-72,225.82,9
S1,1425.94,-9,225.82,9
S1,1376.32,-9,225.82,9
S1,1376.275,-9,225.82,11
S1,1376.275,-9,225.82,13
S1,1426.01,-10,225.82,13
S1,1426.01,-10,225.82,17
S1,1426.01,-10,225.82,23
S1,1376.04,-10,225.82,23
S1,1425.745,-10,225.82,23
S1,1425.745,-10,225.82,30
S1,1425.745,-10,225.82,38
S1,1425.745,-10,225.82,48
S1,1425.745,-10,225.82,57
S1,1425.745,-10,225.82,65
S1,1425.745,-10,225.82,73
S1,1376.33,-10,225.82,73
S1,1376.33,-10,225.82,79
S1,1376.155,-8,225.82,85
S1,1376.155,-8,225.82,85
S1,1376.155,-8,225.82,88
S1,1376.155,-8,225.82,91
S1,1376.155,-8,225.82,93
S1,1376.38,-8,239.47,93
S1,1425.96,-57,16.3,93
S1,1425.96,-57,16.3,95
S1,1425.61,-8,8.89,95
S1,1425.845,-8,8.89,97
S1,1376.06,-8,226.18,97
S1,1425.94,-8,226.18,97
S1,1375.94,-9,226.18,97
S1,1375.94,-9,226.18,97
S1,1376.105,-9,236.38,97
S1,1376.105,-9,236.38,99
S1,1426.315,-9,236.38,104
S1,1426.315,-9,236.38,104
S1,1426.125,-9,226.96,104
S1,1376.06,-9,236.41,104
S1,1376.06,-9,236.41,106
S1,1375.96,-9,226.0,106
S1,1426.165,-13,226.0,106
S1,1376.145,-13,234.7,106
S1,1376.145,-13,234.7,108
S1,1376.08,-13,226.0,108
S1,1376.33,-13,239.98,108
S1,1425.92,-127,229.66,108
S1,1376.175,-10,229.66,108
S1,1425.865,-127,4.39,108
S1,1376.04,-10,226.21,108
S1,1376.145,-10,226.21,108
S1,1376.145,-10,226.21,108
S1,1376.145,-10,226.21,110
S1,1426.01,-10,226.21,110
S1,1376.105,-10,240.85,110
S1,1376.105,-10,240.85,110
S1,1376.105,-10,240.85,106
S1,1426.06,-10,240.85,106
S1,1376.295,-10,240.85,106
S1,1376.195,-10,226.21,106
S1,1425.775,-10,8.83,106
S1,1376.01,-10,285.73,106
S1,1376.33,-10,231.64,106
S1,1426.34,-10,242.68,106
S1,1426.34,-10,242.68,103
S1,1426.165,-10,7.42,103
S1,1376.04,-10,247.87,103
S1,1376.235,-10,226.18,103
S1,1426.265,-10,226.18,103
S1,1426.265,-10,226.18,103
S1,1376.235,-10,226.18,103
S1,1425.845,-10,8.65,103
S1,1426.06,-10,240.55,103
S1,1376.285,-10,240.55,103
S1,1425.95,-10,6.22,103
S1,1426.125,-10,225.73,103
S1,1376.145,-10,225.73,103
S1,1426.32,-10,243.25,103
S1,1426.125,-10,235.54,103
S1,1425.92,-10,235.54,103
S1,1426.1,-10,228.52,103
S1,1375.865,-10,7.42,103
S1,1376.245,-10,226.09,103
S1,1426.125,-11,226.09,103
S1,1376.33,-11,257.89,103
S1,1376.33,-11,257.89,105
S1,1376.33,-11,257.89,105
S1,1425.875,-11,2.83,105
S1,1425.875,-11,2.83,107
S1,1376.275,-11,2.83,107
S1,1376.215,-11,236.53,107
S1,1376.135,-11,226.21,107
S1,1376.34,-12,241.18,107
S1,1425.855,-12,7.15,107
S1,1376.295,-12,7.15,107
S1,1376.1,-11,226.21,107
S1,1426.215,-11,226.21,107
S1,1425.845,-11,5.65,107
S1,1376.33,-11,236.71,107
S1,1376.33,-11,236.71,107
S1,1425.93,-11,246.73,107
S1,1376.32,-11,256.45,107
S1,1375.745,-10,226.18,107
S1,1426.155,-10,226.18,107
S1,1426.155,-10,226.18,104
S1,1426.155,-10,226.18,104
S1,1425.445,-10,261.34,104
S1,1425.445,-10,261.34,101
S1,1376.08,-10,226.21,101
S1,1425.63,-71,226.21,101
S1,1376.1,-17,226.18,27
S1,1425.63,-10,226.21,101
S1,1425.63,-10,226.21,101
S1,1376.1,-17,226.18,27
S1,1425.895,-13,16.21,101
S1,1376.1,-17,2.08,27
S1,1376.1,-41,2.08,27
S1,1376.06,-33,238.39,101
S1,1376.1,-41,2.08,27
S1,1375.95,-33,238.39,101
S1,1426.08,-12,226.09,101
S1,1425.91,-127,7.09,101
S1,1376.265,-12,230.23,101
S1,1425.91,-12,18.64,101
S1,1376.1,-71,2.08,27
S1,1376.1,-71,2.08,27
S1,1425.91,-12,18.64,103
S1,1426.08,-12,227.29,103
S1,1376.175,-12,227.29,103
S1,1376.175,-12,227.29,105
S1,1376.175,-12,236.71,105
S1,1376.145,-12,236.71,107
S1,1376.1,-71,2.08,27
S1,1376.145,-12,236.71,109
S1,1425.92,-127,18.7,109
S1,1376.315,-34,240.04,109
S1,1376.315,-34,240.04,111
S1,1376.175,-34,227.05,111
S1,1426.1,-34,227.05,111
S1,1376.145,-39,234.85,27
S1,1376.145,-39,2.41,27
S1,1376.235,-39,2.41,29
S1,1376.315,-34,227.05,111
S1,1376.235,-39,2.41,29
S1,1376.215,-10,227.05,111
S1,1425.795,-10,4.3,111
S1,1376.145,-10,236.62,111
S1,1425.61,-10,5.8,111
S1,1426.145,-10,235.0,111
S1,1426.0,-10,226.09,111
S1,1426.0,-10,226.09,108
S1,1376.125,-10,242.17,108
S1,1376.125,-10,242.17,108
S1,1376.235,-49,2.41,29
S1,1376.235,-49,2.41,29
S1,1376.255,-10,226.18,108
S1,1376.125,-10,226.18,108
S1,1376.125,-10,226.18,110
S1,1426.195,-10,236.29,110
S1,1376.235,-72,2.41,29
S1,1426.0,-10,225.82,110
S1,1426.0,-10,225.82,110
S1,1376.235,-72,2.41,29
S1,1426.0,-10,225.82,107
S1,1426.0,-10,225.82,107
S1,1376.235,-77,2.41,29
S1,1426.0,-17,225.82,107
S1,1426.125,-17,236.2,107
S1,1426.125,-17,225.82,107
S1,1425.9,-11,225.82,107
S1,1375.705,-77,2.41,29
S1,1425.9,-11,225.82,104
S1,1376.125,-11,248.38,104
S1,1376.175,-11,248.38,104
S1,1376.01,-11,229.09,104
S1,1376.115,-10,229.09,106
S1,1376.125,-10,229.09,106
S1,1425.835,-10,10.03,106
S1,1376.195,-10,240.97,106
S1,1376.195,-10,240.97,106
S1,1425.795,-10,8.26,106
S1,1425.795,-10,8.26,108
S1,1425.725,-11,8.26,108
S1,1426.175,-11,226.09,108
S1,1375.765,-127,2.41,29
S1,1376.305,-12,258.16,108
S1,1376.33,-12,226.96,108
S1,1376.32,-12,241.12,108
S1,1425.56,-12,8.47,108
S1,1376.105,-12,234.97,108
S1,1425.825,-12,18.22,108
S1,1425.765,-127,8.77,108
S1,1376.305,-12,238.87,108
S1,1376.305,-12,238.87,110
S1,1426.145,-31,238.87,110
S1,1425.785,-11,225.85,110
S1,1376.1,-16,2.41,29
S1,1425.845,-16,2.41,29
S1,1425.845,-16,2.41,29
S1,1425.785,-11,225.85,110
S1,1425.785,-11,225.85,107
S1,1376.295,-11,238.15,107
S1,1376.215,-11,226.18,107
S1,1376.315,-11,239.2,107
S1,1425.91,-16,17.71,29
S1,1376.315,-11,239.2,109
S1,1376.02,-10,226.21,109
S1,1426.215,-10,226.21,109
S1,1376.215,-16,17.71,29
S1,1376.245,-10,236.29,109
