Name,Freq(MHz),PW(µs),Azimuth(º),Elevation(º),Power(dBm)
S1,1426.0,226.09,281,0.0,-20
S1,1425.405,5.98,281,0.0,-20
S1,1425.59,5.98,283,0.0,-20
S1,1425.59,5.98,283,0.0,-20
S1,1376.125,235.39,283,0.0,-20
S1,1425.755,235.39,283,0.0,-20
S1,1426.06,225.82,283,0.0,-20
S1,1426.255,225.82,283,0.0,-7
S1,1376.235,225.82,283,0.0,-7
S1,1376.235,225.82,283,0.0,-7
S1,1376.235,225.82,286,0.0,-7
S1,1376.235,225.82,291,0.0,-7
S1,1376.235,225.82,297,0.0,-7
S1,1376.105,232.93,297,0.0,-7
S1,1376.265,225.85,297,0.0,-7
S1,1376.265,225.85,306,0.0,-7
S1,1376.265,225.85,315,0.0,-7
S1,1376.265,225.85,326,0.0,-7
S1,1376.265,225.85,335,0.0,-7
S1,1425.94,8.23,335,0.0,-7
S1,1376.175,230.53,335,0.0,-7
S1,1425.835,3.04,335,0.0,-7
S1,1425.835,3.04,344,0.0,-7
S1,1425.835,3.04,351,0.0,-7
S1,1375.94,226.18,351,0.0,-7
S1,1375.94,226.18,356,0.0,-7
S1,1375.94,226.18,1,0.0,-7
S1,1375.94,226.18,3,0.0,-7
S1,1375.94,226.18,5,0.0,-7
S1,1375.94,226.18,7,0.0,-7
S1,1425.745,6.55,7,0.0,-7
S1,1376.04,6.55,7,0.0,-7
S1,1425.63,6.55,7,0.0,-9
S1,1376.295,225.82,7,0.0,-72
S1,1376.295,225.82,9,0.0,-72
S1,1425.94,225.82,9,0.0,-9
S1,1376.32,225.82,9,0.0,-9
S1,1376.275,225.82,11,0.0,-9
S1,1376.275,225.82,13,0.0,-9
S1,1426.01,225.82,13,0.0,-10
S1,1426.01,225.82,17,0.0,-10
S1,1426.01,225.82,23,0.0,-10
S1,1376.04,225.82,23,0.0,-10
S1,1425.745,225.82,23,0.0,-10
S1,1425.745,225.82,30,0.0,-10
S1,1425.745,225.82,38,0.0,-10
S1,1425.745,225.82,48,0.0,-10
S1,1425.745,225.82,57,0.0,-10
S1,1425.745,225.82,65,0.0,-10
S1,1425.745,225.82,73,0.0,-10
S1,1376.33,225.82,73,0.0,-10
S1,1376.33,225.82,79,0.0,-10
S1,1376.155,225.82,85,0.0,-8
S1,1376.155,225.82,85,0.0,-8
S1,1376.155,225.82,88,0.0,-8
S1,1376.155,225.82,91,0.0,-8
S1,1376.155,225.82,93,0.0,-8
S1,1376.38,239.47,93,0.0,-8
S1,1425.96,16.3,93,0.0,-57
S1,1425.96,16.3,95,0.0,-57
S1,1425.61,8.89,95,0.0,-8
S1,1425.845,8.89,97,0.0,-8
S1,1376.06,226.18,97,0.0,-8
S1,1425.94,226.18,97,0.0,-8
S1,1375.94,226.18,97,0.0,-9
S1,1375.94,226.18,97,0.0,-9
S1,1376.105,236.38,97,0.0,-9
S1,1376.105,236.38,99,0.0,-9
S1,1426.315,236.38,104,0.0,-9
S1,1426.315,236.38,104,0.0,-9
S1,1426.125,226.96,104,0.0,-9
S1,1376.06,236.41,104,0.0,-9
S1,1376.06,236.41,106,0.0,-9
S1,1375.96,226.0,106,0.0,-9
S1,1426.165,226.0,106,0.0,-13
S1,1376.145,234.7,106,0.0,-13
S1,1376.145,234.7,108,0.0,-13
S1,1376.08,226.0,108,0.0,-13
S1,1376.33,239.98,108,0.0,-13
S1,1425.92,229.66,108,0.0,-127
S1,1376.175,229.66,108,0.0,-10
S1,1425.865,4.39,108,0.0,-127
S1,1376.04,226.21,108,0.0,-10
S1,1376.145,226.21,108,0.0,-10
S1,1376.145,226.21,108,0.0,-10
S1,1376.145,226.21,110,0.0,-10
S1,1426.01,226.21,110,0.0,-10
S1,1376.105,240.85,110,0.0,-10
S1,1376.105,240.85,110,0.0,-10
S1,1376.105,240.85,106,0.0,-10
S1,1426.06,240.85,106,0.0,-10
S1,1376.295,240.85,106,0.0,-10
S1,1376.195,226.21,106,0.0,-10
S1,1425.775,8.83,106,0.0,-10
S1,1376.01,285.73,106,0.0,-10
S1,1376.33,231.64,106,0.0,-10
S1,1426.34,242.68,106,0.0,-10
S1,1426.34,242.68,103,0.0,-10
S1,1426.165,7.42,103,0.0,-10
S1,1376.04,247.87,103,0.0,-10
S1,1376.235,226.18,103,0.0,-10
S1,1426.265,226.18,103,0.0,-10
S1,1426.265,226.18,103,0.0,-10
S1,1376.235,226.18,103,0.0,-10
S1,1425.845,8.65,103,0.0,-10
S1,1426.06,240.55,103,0.0,-10
S1,1376.285,240.55,103,0.0,-10
S1,1425.95,6.22,103,0.0,-10
S1,1426.125,225.73,103,0.0,-10
S1,1376.145,225.73,103,0.0,-10
S1,1426.32,243.25,103,0.0,-10
S1,1426.125,235.54,103,0.0,-10
S1,1425.92,235.54,103,0.0,-10
S1,1426.1,228.52,103,0.0,-10
S1,1375.865,7.42,103,0.0,-10
S1,1376.245,226.09,103,0.0,-10
S1,1426.125,226.09,103,0.0,-11
S1,1376.33,257.89,103,0.0,-11
S1,1376.33,257.89,105,0.0,-11
S1,1376.33,257.89,105,0.0,-11
S1,1425.875,2.83,105,0.0,-11
S1,1425.875,2.83,107,0.0,-11
S1,1376.275,2.83,107,0.0,-11
S1,1376.215,236.53,107,0.0,-11
S1,1376.135,226.21,107,0.0,-11
S1,1376.34,241.18,107,0.0,-12
S1,1425.855,7.15,107,0.0,-12
S1,1376.295,7.15,107,0.0,-12
S1,1376.1,226.21,107,0.0,-11
S1,1426.215,226.21,107,0.0,-11
S1,1425.845,5.65,107,0.0,-11
S1,1376.33,236.71,107,0.0,-11
S1,1376.33,236.71,107,0.0,-11
S1,1425.93,246.73,107,0.0,-11
S1,1376.32,256.45,107,0.0,-11
S1,1375.745,226.18,107,0.0,-10
S1,1426.155,226.18,107,0.0,-10
S1,1426.155,226.18,104,0.0,-10
S1,1426.155,226.18,104,0.0,-10
S1,1425.445,261.34,104,0.0,-10
S1,1425.445,261.34,101,0.0,-10
S1,1376.08,226.21,101,0.0,-10
S1,1425.63,226.21,101,0.0,-71
S1,1376.1,226.18,27,0.0,-17
S1,1425.63,226.21,101,0.0,-10
S1,1425.63,226.21,101,0.0,-10
S1,1376.1,226.18,27,0.0,-17
S1,1425.895,16.21,101,0.0,-13
S1,1376.1,2.08,27,0.0,-17
S1,1376.1,2.08,27,0.0,-41
S1,1376.06,238.39,101,0.0,-33
S1,1376.1,2.08,27,0.0,-41
S1,1375.95,238.39,101,0.0,-33
S1,1426.08,226.09,101,0.0,-12
S1,1425.91,7.09,101,0.0,-127
S1,1376.265,230.23,101,0.0,-12
S1,1425.91,18.64,101,0.0,-12
S1,1376.1,2.08,27,0.0,-71
S1,1376.1,2.08,27,0.0,-71
S1,1425.91,18.64,103,0.0,-12
S1,1426.08,227.29,103,0.0,-12
S1,1376.175,227.29,103,0.0,-12
S1,1376.175,227.29,105,0.0,-12
S1,1376.175,236.71,105,0.0,-12
S1,1376.145,236.71,107,0.0,-12
S1,1376.1,2.08,27,0.0,-71
S1,1376.145,236.71,109,0.0,-12
S1,1425.92,18.7,109,0.0,-127
S1,1376.315,240.04,109,0.0,-34
S1,1376.315,240.04,111,0.0,-34
S1,1376.175,227.05,111,0.0,-34
S1,1426.1,227.05,111,0.0,-34
S1,1376.145,234.85,27,0.0,-39
S1,1376.145,2.41,27,0.0,-39
S1,1376.235,2.41,29,0.0,-39
S1,1376.315,227.05,111,0.0,-34
S1,1376.235,2.41,29,0.0,-39
S1,1376.215,227.05,111,0.0,-10
S1,1425.795,4.3,111,0.0,-10
S1,1376.145,236.62,111,0.0,-10
S1,1425.61,5.8,111,0.0,-10
S1,1426.145,235.0,111,0.0,-10
S1,1426.0,226.09,111,0.0,-10
S1,1426.0,226.09,108,0.0,-10
S1,1376.125,242.17,108,0.0,-10
S1,1376.125,242.17,108,0.0,-10
S1,1376.235,2.41,29,0.0,-49
S1,1376.235,2.41,29,0.0,-49
S1,1376.255,226.18,108,0.0,-10
S1,1376.125,226.18,108,0.0,-10
S1,1376.125,226.18,110,0.0,-10
S1,1426.195,236.29,110,0.0,-10
S1,1376.235,2.41,29,0.0,-72
S1,1426.0,225.82,110,0.0,-10
S1,1426.0,225.82,110,0.0,-10
S1,1376.235,2.41,29,0.0,-72
S1,1426.0,225.82,107,0.0,-10
S1,1426.0,225.82,107,0.0,-10
S1,1376.235,2.41,29,0.0,-77
S1,1426.0,225.82,107,0.0,-17
S1,1426.125,236.2,107,0.0,-17
S1,1426.125,225.82,107,0.0,-17
S1,1425.9,225.82,107,0.0,-11
S1,1375.705,2.41,29,0.0,-77
S1,1425.9,225.82,104,0.0,-11
S1,1376.125,248.38,104,0.0,-11
S1,1376.175,248.38,104,0.0,-11
S1,1376.01,229.09,104,0.0,-11
S1,1376.115,229.09,106,0.0,-10
S1,1376.125,229.09,106,0.0,-10
